Hotel_ID,Hotel_Name,Location,Brand,Rating,Number_of_Rooms,Amenities,Price_Per_Night,Customer_Satisfaction_Score,Year_Built,Last_Renovated,Distance_to_Airport,Pet_Friendly,Business_Center_Available,WiFi_Included,Restaurant_Available
1,Hotel 1,Atlanta,The Ritz-Carlton,2.5,96,"Restaurant, Pool",290.68,1,1981,1996,9.27,True,True,True,False
2,Hotel 2,San Jose,Residence Inn,4.8,61,"Restaurant, Pool",257.75,1,2011,2012,42.84,True,True,False,False
3,Hotel 3,Indianapolis,Autograph Collection Hotels,3.9,111,"Pool, Gym, Free WiFi",319.77,1,1987,1990,1.65,False,True,False,True
4,Hotel 4,Los Angeles,Luxury,3.4,129,"Pool, Gym, Free WiFi",398.75,8,2001,2007,26.08,True,False,True,True
5,Hotel 5,Atlanta,Westin,1.6,265,"Gym, Free Parking",386.2,3,1985,2011,38.7,True,False,True,False
6,Hotel 6,Phoenix,AC Hotels,1.6,132,"Restaurant, Pool",308.49,6,1991,1980,46.8,True,False,True,True
7,Hotel 7,Detroit,Courtyard by Marriott,1.2,57,"Restaurant, Pool",428.96,3,2019,2007,45.55,True,False,False,True
8,Hotel 8,El Paso,The Luxury Collection,4.5,272,"Business Center, Free WiFi",272.34,5,2015,2021,41.16,False,True,False,False
9,Hotel 9,Mesa,The Luxury Collection,3.4,198,"Business Center, Free WiFi",458.69,7,1994,1986,44.52,True,True,True,False
10,Hotel 10,Phoenix,SpringHill Suites,3.8,130,"Business Center, Free WiFi",128.51,2,2007,1981,10.76,False,True,False,False
11,Hotel 11,Tucson,Longer Stays,1.1,264,"Restaurant, Pool",481.86,6,1997,2021,14.93,True,False,True,True
12,Hotel 12,Phoenix,Moxy Hotels,4.9,278,"Business Center, Free WiFi",361.88,6,1981,2003,15.16,False,True,True,False
13,Hotel 13,Portland,Le Méridien,4.3,167,"Pool, Gym, Free WiFi",252.03,3,1992,1983,19.48,False,True,False,False
14,Hotel 14,Virginia Beach,Westin,1.8,257,"Gym, Free Parking",178.86,6,1994,1998,20.27,True,True,False,False
15,Hotel 15,Detroit,TownePlace Suites,1.7,247,"Spa, Free Breakfast",291.67,10,1999,2005,27.68,False,True,False,False
16,Hotel 16,Denver,AC Hotels,1.7,249,"Gym, Free Parking",177.82,10,2008,1990,8.83,True,False,False,False
17,Hotel 17,Kansas City,Moxy Hotels,2.2,74,"Gym, Free Parking",166.53,5,2021,2019,34.87,False,True,True,True
18,Hotel 18,New York,Fairfield by Marriott,3.1,259,"Pool, Gym, Free WiFi",346.94,2,2008,2022,9.21,False,True,True,False
19,Hotel 19,Detroit,Delta Hotels,2.7,138,"Restaurant, Pool",309.23,9,1982,1990,16.21,False,False,True,False
20,Hotel 20,Fresno,The Ritz-Carlton,2.2,61,"Gym, Free Parking",368.04,8,1998,1982,25.66,True,False,False,True
21,Hotel 21,Virginia Beach,Marriott Hotels,3.4,192,"Pool, Gym, Free WiFi",471.84,3,1982,1991,40.03,False,False,True,False
22,Hotel 22,Boston,Element by Westin,1.6,108,"Spa, Free Breakfast",312.9,8,1993,1982,37.23,True,True,False,False
23,Hotel 23,Memphis,The Ritz-Carlton,2.2,203,"Pool, Gym, Free WiFi",332.37,9,2019,2021,32.63,False,True,False,True
24,Hotel 24,San Antonio,Fairfield by Marriott,2.5,282,"Spa, Free Breakfast",135.85,3,1983,2006,8.63,False,True,False,False
25,Hotel 25,Memphis,Marriott Vacation Club,2.8,158,"Spa, Free Breakfast",387.05,3,1990,1981,27.81,False,True,True,True
26,Hotel 26,Milwaukee,Marriott Vacation Club,4.1,75,"Pool, Gym, Free WiFi",259.96,2,2010,1995,5.28,False,False,False,False
27,Hotel 27,El Paso,St. Regis,1.8,96,"Pool, Gym, Free WiFi",490.69,8,2022,1981,19.49,False,True,False,True
28,Hotel 28,Washington D.C.,Longer Stays,3.1,81,"Pool, Gym, Free WiFi",429.27,10,2011,2009,21.26,False,True,False,True
29,Hotel 29,Charlotte,JW Marriott,3.4,59,"Restaurant, Pool",308.99,1,2006,1999,2.95,True,False,False,False
30,Hotel 30,Houston,St. Regis,1.2,65,"Pool, Gym, Free WiFi",149.29,8,2009,2017,14.43,True,False,False,True
31,Hotel 31,San Francisco,Longer Stays,3.4,248,"Spa, Free Breakfast",443.77,7,2022,2007,47.83,True,False,False,True
32,Hotel 32,Sacramento,TownePlace Suites,1.7,194,"Spa, Free Breakfast",419.91,7,1981,2004,47.73,False,True,False,False
33,Hotel 33,Seattle,Westin,1.3,200,"Spa, Free Breakfast",173.83,3,1988,2011,18.26,True,True,False,False
34,Hotel 34,Boston,AC Hotels,4.8,75,"Pool, Gym, Free WiFi",218.11,1,2007,1989,3.11,False,True,False,True
35,Hotel 35,Nashville,SpringHill Suites,4.9,262,"Spa, Free Breakfast",417.36,4,2010,2021,9.78,True,True,False,False
36,Hotel 36,Seattle,Autograph Collection Hotels,4.2,135,"Restaurant, Pool",174.09,9,2013,2019,20.22,True,True,False,True
37,Hotel 37,New York,Autograph Collection Hotels,2.2,299,"Business Center, Free WiFi",467.1,5,1994,2012,47.44,False,False,False,True
